Project Financial Summary - Parkway Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared as of 10/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Summary per lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Previous Sales/Allocations,,,,,,,,Sales,Cost of land,Cost of direct dev,Cost of water,Cost of indirects,Total cost,Margin,,,,,,,,,,,,,,,,,,,,,
,,,,,B2,SFR,72,,,,,"  141,583.79 ","  (23,849.72)","  (65,448.00)","  (3,854.83)","  (10,148.63)","  (103,301.18)","  38,282.61 ",27.04%,,,,,,,,,,,,,,,,,,,,
,,,,,B2,SFR,51,,,,,"  131,412.35 ","  (22,136.35)","  (68,056.20)","  (3,577.89)","  (9,419.55)","  (103,189.99)","  28,222.36 ",21.48%,,,,,,,,,,,,,,,,,,,,
,,,,,D1,SFR,127,,,,,"  140,995.36 ","  (17,568.74)","  (74,842.00)","  (7,957.30)","  (7,963.79)","  (108,331.83)","  32,663.53 ",23.17%,,,,,,,,,,,,,,,,,,,,
,,,,,D1,SFR,31,,,,,"  125,806.45 ","  (15,676.12)","  (68,837.02)","  (7,100.09)","  (7,105.88)","  (98,719.11)","  27,087.34 ",21.53%,,,,,,,,,,,,,,,,,,,,
,,,,,G1,Church,1,,,,,"  1,100,000.00 ","  (375,808.50)",  -   ,  -   ,"  (201,634.27)","  (577,442.77)","  522,557.23 ",47.51%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"  141,143.52 ","  (21,060.75)","  (70,290.79)","  (5,995.39)","  (9,377.36)","  (106,724.30)","  34,419.23 ",24.39%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Remaining Sales/Allocations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,D2,SFR,30,,,,,"  148,826.59 ","  (33,517.03)","  (87,184.02)",  -   ,"  1,677.65 ","  (119,023.40)","  29,803.19 ",20.03%,Lennar,,,,,,,,,,,,,,,,,,,
,,,,,D2,SFR,52,,,,,"  120,000.00 ","  (27,025.04)","  (70,297.13)",  -   ,"  1,352.71 ","  (95,969.46)","  24,030.54 ",20.03%,,,,,,,,,,,,,,,,,,,,
,,,,,E1,SFR,173,,,,,"  141,121.51 ","  (31,781.78)","  (80,202.43)",  -   ,"  1,590.80 ","  (110,393.41)","  30,728.10 ",21.77%,Lennar,,,,,,,,,,,,,,,,,,,
,,,,,E1,SFR,25,,,,,"  120,000.00 ","  (27,025.04)","  (68,198.61)",  -   ,"  1,352.71 ","  (93,870.95)","  26,129.05 ",21.77%,,,,,,,,,,,,,,,,,,,,
,,,,,E2,SFR,76,,,,,"  120,000.00 ","  (27,025.04)","  (63,289.47)",  -   ,"  1,352.71 ","  (88,961.81)","  31,038.19 ",25.87%,,,,,,,,,,,,,,,,,,,,
,,,,,F,SFR,61,,,,,"  120,000.00 ","  (27,025.04)","  (73,114.75)",  -   ,"  1,352.71 ","  (98,787.09)","  21,212.91 ",17.68%,,,,,,,,,,,,,,,,,,,,
,,,,,G1,SFR,63,,,,,"  120,000.00 ","  (27,025.04)","  (53,653.85)",  -   ,"  1,352.71 ","  (79,326.19)","  40,673.81 ",33.89%,,,,,,,,,,,,,,,,,,,,
,,,,,G1,Comm,1,,,,,"  1,565,160.00 ","  (352,487.56)","  (699,807.21)",  -   ,"  17,643.33 ","  (1,034,651.44)","  530,508.56 ",33.89%,,,,,,,,,,,,,,,,,,,,
,,,,,G2,SFR,145,,,,,"  120,000.00 ","  (27,025.04)","  (62,068.97)",  -   ,"  1,352.71 ","  (87,741.30)","  32,258.70 ",26.88%,,,,,,,,,,,,,,,,,,,,
,,,,,H,SFR,248,,,,,"  120,000.00 ","  (27,025.04)","  (62,822.58)",  -   ,"  1,352.71 ","  (88,494.91)","  31,505.09 ",26.25%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"  126,823.77 ","  (28,561.81)","  (68,399.26)",  -   ,"  1,429.63 ","  (95,531.45)","  31,292.33 ",24.67%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Budgeting,,,,,,,,,,,,,12100 Inventory Asset,,,,,,,,,,,,,,,,,,,,,,,
